[infer] serving ml/experiments/v32-onpolicy-solo/shared-critic/checkpoint.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v34-phase2/rerank-p025/attempt-2/infer.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=1972 rows=3688 batches=168 avg_batch=22.0 batch_p50=20 batch_p95=39 batch_min=1 batch_max=110 forwards/s=33.6
[infer] reqs=8320 rows=15996 batches=644 avg_batch=24.8 batch_p50=25 batch_p95=39 batch_min=4 batch_max=57 forwards/s=128.8
[infer] reqs=8228 rows=15888 batches=642 avg_batch=24.7 batch_p50=24 batch_p95=36 batch_min=8 batch_max=46 forwards/s=128.4
[infer] reqs=8312 rows=16008 batches=644 avg_batch=24.9 batch_p50=24 batch_p95=38 batch_min=6 batch_max=53 forwards/s=128.8
[infer] reqs=8276 rows=15696 batches=641 avg_batch=24.5 batch_p50=24 batch_p95=36 batch_min=8 batch_max=49 forwards/s=128.2
[infer] reqs=8271 rows=16003 batches=642 avg_batch=24.9 batch_p50=24 batch_p95=37 batch_min=6 batch_max=50 forwards/s=128.4
[infer] reqs=8342 rows=16122 batches=646 avg_batch=25.0 batch_p50=24 batch_p95=38 batch_min=8 batch_max=52 forwards/s=129.2
[infer] reqs=8381 rows=16381 batches=645 avg_batch=25.4 batch_p50=25 batch_p95=38 batch_min=5 batch_max=53 forwards/s=129.0
[infer] reqs=8450 rows=16318 batches=646 avg_batch=25.3 batch_p50=25 batch_p95=38 batch_min=6 batch_max=50 forwards/s=129.2
[infer] reqs=8175 rows=15783 batches=632 avg_batch=25.0 batch_p50=25 batch_p95=38 batch_min=5 batch_max=50 forwards/s=126.4
[infer] reqs=8514 rows=16506 batches=648 avg_batch=25.5 batch_p50=25 batch_p95=39 batch_min=7 batch_max=48 forwards/s=129.6
[infer] reqs=8467 rows=16303 batches=647 avg_batch=25.2 batch_p50=25 batch_p95=39 batch_min=7 batch_max=60 forwards/s=129.4
[infer] reqs=8328 rows=16336 batches=646 avg_batch=25.3 batch_p50=25 batch_p95=41 batch_min=7 batch_max=52 forwards/s=129.2
[infer] reqs=8319 rows=15987 batches=645 avg_batch=24.8 batch_p50=24 batch_p95=38 batch_min=8 batch_max=51 forwards/s=129.0
[infer] reqs=8309 rows=16365 batches=645 avg_batch=25.4 batch_p50=25 batch_p95=38 batch_min=6 batch_max=48 forwards/s=129.0
[infer] reqs=8279 rows=16127 batches=645 avg_batch=25.0 batch_p50=25 batch_p95=38 batch_min=7 batch_max=53 forwards/s=129.0
[infer] reqs=8220 rows=15772 batches=642 avg_batch=24.6 batch_p50=24 batch_p95=38 batch_min=8 batch_max=47 forwards/s=128.4
[infer] reqs=8247 rows=15911 batches=647 avg_batch=24.6 batch_p50=24 batch_p95=39 batch_min=6 batch_max=54 forwards/s=129.4
[infer] reqs=8265 rows=16073 batches=647 avg_batch=24.8 batch_p50=25 batch_p95=38 batch_min=7 batch_max=53 forwards/s=129.4
[infer] reqs=8371 rows=16211 batches=645 avg_batch=25.1 batch_p50=25 batch_p95=37 batch_min=9 batch_max=49 forwards/s=129.0
[infer] reqs=8459 rows=16451 batches=647 avg_batch=25.4 batch_p50=25 batch_p95=40 batch_min=8 batch_max=46 forwards/s=129.4
[infer] reqs=8590 rows=16630 batches=648 avg_batch=25.7 batch_p50=25 batch_p95=38 batch_min=9 batch_max=48 forwards/s=129.6
[infer] reqs=8566 rows=16606 batches=650 avg_batch=25.5 batch_p50=25 batch_p95=38 batch_min=7 batch_max=48 forwards/s=130.0
[infer] reqs=8133 rows=15749 batches=629 avg_batch=25.0 batch_p50=25 batch_p95=38 batch_min=8 batch_max=52 forwards/s=125.8
[infer] reqs=8369 rows=16173 batches=638 avg_batch=25.3 batch_p50=25 batch_p95=37 batch_min=8 batch_max=50 forwards/s=127.6
[infer] reqs=8513 rows=16425 batches=649 avg_batch=25.3 batch_p50=25 batch_p95=38 batch_min=8 batch_max=50 forwards/s=129.8
[infer] reqs=8185 rows=15921 batches=640 avg_batch=24.9 batch_p50=24 batch_p95=39 batch_min=7 batch_max=48 forwards/s=128.0
[infer] reqs=8097 rows=15741 batches=627 avg_batch=25.1 batch_p50=25 batch_p95=38 batch_min=5 batch_max=50 forwards/s=125.4
[infer] reqs=8260 rows=16060 batches=630 avg_batch=25.5 batch_p50=25 batch_p95=40 batch_min=6 batch_max=55 forwards/s=126.0
[infer] reqs=8643 rows=16619 batches=651 avg_batch=25.5 batch_p50=25 batch_p95=39 batch_min=6 batch_max=52 forwards/s=130.2
[infer] reqs=8375 rows=16135 batches=645 avg_batch=25.0 batch_p50=25 batch_p95=39 batch_min=4 batch_max=57 forwards/s=129.0
[infer] reqs=2279 rows=4391 batches=531 avg_batch=8.3 batch_p50=7 batch_p95=20 batch_min=1 batch_max=35 forwards/s=106.2
[infer] reqs=2780 rows=5500 batches=657 avg_batch=8.4 batch_p50=8 batch_p95=17 batch_min=1 batch_max=25 forwards/s=131.4
[infer] reqs=2802 rows=5466 batches=650 avg_batch=8.4 batch_p50=8 batch_p95=17 batch_min=1 batch_max=23 forwards/s=130.0
[infer] shut down
